r,z,pressure,ne
5.608358413,92.30942719,2.9997,1.41E+17
156.8090407,92.28268915,2.9997,6.98E+16
40.73566651,92.28080699,2.9997,1.42E+17
170.5259555,92.06285846,2.9997,5.36E+16
225,91.92158293,2.9997,7.20E+14
224.4067267,91.80365558,2.9997,9.57E+14
217.9208024,91.68207798,2.9997,5.56E+15
223.576144,91.63855729,2.9997,1.32E+15
34.06986683,91.58529636,2.9997,1.48E+17
60.83153811,91.38852059,2.9997,1.49E+17
212.8219765,90.93864285,2.9997,1.04E+16
177.0722967,90.89761672,2.9997,4.88E+16
17.02301516,90.74108286,2.9997,1.54E+17
47.48159497,90.67734218,2.9997,1.55E+17
54.26924349,90.63461118,2.9997,1.55E+17
183.8393149,89.87080491,2.9997,4.27E+16
0,89.69560361,2.9997,1.61E+17
221.2212701,89.65038369,2.9997,2.58E+15
190.5370721,89.17014577,2.9997,3.57E+16
11.15570146,88.52024597,2.9997,1.73E+17
196.7353545,87.97164809,2.9997,3.00E+16
225,87.8,2.9997,7.40E+14
217.5313319,87.46598836,2.9997,7.34E+15
202.8489049,86.47435229,2.9997,2.43E+16
23.4264714,86.32746183,2.9997,1.89E+17
160.2631397,85.8851993,2.9997,8.91E+16
208.7982868,85.8798976,2.9997,1.76E+16
132.5648131,85.7171201,2.9997,1.35E+17
98.65397165,85.65249895,2.9997,1.77E+17
71.40460423,85.62152777,2.9997,1.92E+17
112.4693997,85.60613408,2.9997,1.63E+17
146.7296552,85.55235275,2.9997,1.13E+17
139.4178575,85.53105174,2.9997,1.26E+17
85.09002372,85.5273497,2.9997,1.87E+17
78.38954993,85.50211392,2.9997,1.90E+17
105.5558209,85.48443464,2.9997,1.71E+17
125.863718,85.48155524,2.9997,1.47E+17
91.95009445,85.40666682,2.9997,1.83E+17
118.99574,85.38347534,2.9997,1.56E+17
64.2850982,85.24349373,2.9997,1.96E+17
221.6133475,85.08916236,2.9997,2.25E+15
30.49025468,84.98470765,2.9997,2.00E+17
5.744549729,84.94541048,2.9997,1.97E+17
153.6834395,84.78308237,2.9997,1.04E+17
167.5748905,84.64677558,2.9997,8.04E+16
213.4361342,84.20552681,2.9997,1.30E+16
174.0117863,83.93243595,2.9997,7.12E+16
37.14736496,83.86889453,2.9997,2.08E+17
17.05457552,83.56125852,2.9997,2.08E+17
50.4527317,83.54061263,2.9997,2.10E+17
180.539682,83.5383071,2.9997,6.08E+16
43.52653501,83.45675471,2.9997,2.11E+17
218.1744607,83.23013645,2.9997,7.66E+15
225,83.2,2.9997,7.40E+14
57.57197084,82.29141375,2.9997,2.18E+17
193.597832,82.24709675,2.9997,4.18E+16
187.616135,81.55545733,2.9997,5.27E+16
210.6403155,81.26145715,2.9997,1.81E+16
0,80.40561449,2.9997,2.25E+17
205.9151077,80.12439365,2.9997,2.55E+16
221.4701419,79.67869969,2.9997,4.32E+15
199.5004392,79.30947083,2.9997,3.61E+16
216.101807,79.10512884,2.9997,1.18E+16
27.44554796,78.53781471,2.9997,2.42E+17
225,78.326359,2.9997,7.20E+14
224.3224873,78.326359,2.9997,1.31E+15
223.3739695,78.326359,2.9997,2.40E+15
183.4051514,76.55636468,2.9997,6.79E+16
163.5393347,76.49297903,2.9997,1.10E+17
209.8259096,76.48829809,2.9997,2.19E+16
67.93103302,76.44319003,2.9997,2.52E+17
22.78769228,76.42864911,2.9997,2.55E+17
129.4266768,76.35138872,2.9997,1.84E+17
150.0872653,76.35071275,2.9997,1.41E+17
102.0652796,76.33989179,2.9997,2.27E+17
157.1171997,76.30832227,2.9997,1.25E+17
95.3991446,76.28935995,2.9997,2.35E+17
115.5256336,76.28432499,2.9997,2.09E+17
143.1133026,76.27755592,2.9997,1.56E+17
81.49495308,76.26536008,2.9997,2.47E+17
109.0015356,76.23811573,2.9997,2.19E+17
74.78597241,76.21217864,2.9997,2.51E+17
136.0714063,76.20605762,2.9997,1.71E+17
88.3214691,76.1177373,2.9997,2.42E+17
122.5312271,76.08895583,2.9997,1.98E+17
193.4203825,75.88667705,2.9997,4.98E+16
33.5299539,75.50029892,2.9997,2.61E+17
61.34134598,75.47053025,2.9997,2.60E+17
220.5162854,75.31228089,2.9997,6.65E+15
53.61555605,75.19083865,2.9997,2.62E+17
177.7104539,75.03701927,2.9997,8.23E+16
170.5743329,75.00065845,2.9997,9.79E+16
11.15482991,74.32859031,2.9997,2.66E+17
46.91246864,74.21119221,2.9997,2.69E+17
41.19193073,74.13270542,2.9997,2.69E+17
205.1028612,73.81000895,2.9997,3.09E+16
188.4027956,73.59918227,2.9997,6.19E+16
216.2045691,72.81174099,2.9997,1.35E+16
222.7694565,72.56101639,2.9997,3.79E+15
223.631029,72.56101639,2.9997,2.51E+15
224.246438,72.56101639,2.9997,1.69E+15
224.6860158,72.56101639,2.9997,1.08E+15
225,72.56101639,2.9997,7.11E+14
199.3608703,72.45668679,2.9997,4.19E+16
16.8032401,72.15808959,2.9997,2.78E+17
182.781299,70.97924616,2.9997,7.67E+16
